category,subcategories,Date,status,transmis_entreprise,tags,transmis_authorite,is_read,has_response,description
BanqueAssuranceMutuelle,"Une_assurance_mutuelle,Contrat",2026-06-18,TraitementEnCours,0,Internet,0,0,0,"J'ai souscrit une assurance habitation chez vous il y a trois mois. Je viens de recevoir un avenant au contrat avec des conditions modifiées, sans que j'aie donné mon accord. Les garanties ont été réduites et la franchise augmentée. J'ai contacté votre service client à plusieurs reprises, mais je tombe toujours sur une messagerie. Personne ne me rappelle. Je trouve ces pratiques abusives, on ne change pas un contrat unilatéralement. Je souhaite que l'on revienne aux conditions initiales, sinon je me tournerai vers le médiateur. En attendant, je ne paierai pas la nouvelle prime."
AchatInternet,"Un_produit,Cest_un_objet,La_garantie_ou_le_remboursement,Il_presente_un_defaut_ou_il_ne_marche_plus,Neuf,Il_y_a_moins_de_2_ans",2026-06-05,TraitementEnCours,0,aucun_tag,0,1,1,"J'ai acheté un robot cuiseur sur votre site le mois dernier. Il a fonctionné correctement pendant deux semaines, puis il a commencé à afficher un code d'erreur. Depuis, il refuse de chauffer. J'ai suivi la procédure de garantie, j'ai envoyé des photos, j'ai appelé le SAV à trois reprises, mais on me promet un retour sans suite. Le produit est neuf, il est encore sous garantie, je ne vois pas pourquoi je devrais payer une réparation. Je suis très déçu, je pensais acheter un produit fiable. J'attends une solution concrète, soit un échange, soit un remboursement complet."
Sante,"Un_professionnel_proposant_des_prestations_de_medecines_non_conventionnelles_ou_un_coach_de_sante,La_publicite_ou_la_description_est_trompeuse",2026-07-03,TraitementEnCours,0,Internet,0,0,0,"J'ai consulté un naturopathe qui promettait sur son site d'éliminer mes migraines en trois séances. Il a facturé 150 euros la première séance, mais au bout de la troisième, mes migraines étaient toujours là. Il a juste fait des tests avec un pendule et m'a vendu des compléments alimentaires hors de prix. Je trouve cette publicité mensongère, il se présente comme un expert mais ce ne sont que des promesses sans fondement. Je me suis sentie manipulée, et j'ai perdu du temps et de l'argent. Je veux que sa pratique soit contrôlée."
AchatInternet,"Une_commande_effectuee,Le_service_apresvente_ne_me_repond_plus_SAV",2026-05-06,TraitementEnCours,0,"Commande effectuée,Internet",0,1,0,"J'ai passé commande sur votre site le 2 mai, un colis de vêtements d'une valeur de 120 euros. Le suivi indique livré, mais je n'ai rien reçu. J'ai contacté le service après-vente par email, par téléphone, et via le formulaire de contact. Je n'obtiens aucune réponse, seulement des messages automatiques. Je commence à désespérer, j'ai l'impression de m'être fait arnaquer. Le site est bien présenté, mais le SAV est inexistant. Je souhaite qu'on me rembourse ou qu'on renvoie la commande. Sinon, je contacterai la DGCCRF."
CafeRestaurant,"Jai_ete_malade_apres_avoir_mange,Sur_place",2026-05-03,TraitementEnCours,0,"Produit dangereux,Produit alimentaire",0,1,1,"J'ai déjeuné dans votre établissement samedi dernier, j'ai pris un burger avec des frites. Dans l'heure qui a suivi, j'ai eu des nausées, des vomissements et des crampes d'estomac. J'ai dû consulter un médecin qui a suspecté une intoxication alimentaire. Mon ami qui a mangé la même chose a aussi été malade. Je suis certain que la viande ou la sauce n'était pas fraîche. Le serveur était pressé, la cuisine semblait peu soignée. Je ne veux pas que d'autres clients vivent ça. Faites attention à vos conditions de conservation."
DemarchageAbusif,"Probleme_de_demarchage_telephonique,Jai_recu_au_moins_5_appels_de_la_meme_entreprise_sur_les_30_derniers_jours",2026-06-19,NonTraite,0,"Démarchage téléphonique,Appel commercial",0,1,0,"Je reçois en moyenne 4 appels par jour de la même société, une entreprise de rénovation énergétique. Ils raccrochent dès que je décroche, ou alors me proposent des devis pour des travaux. J'ai beau leur dire que je ne suis pas intéressé, ils rappellent systématiquement. C'est devenu du harcèlement, je ne peux plus utiliser mon téléphone tranquillement. J'ai signalé mon numéro sur Bloctel, mais ça n'a rien changé. J'en ai assez de ces appels intempestifs, je veux que cela cesse immédiatement."
AchatInternet,"Une_commande_effectuee,Commande_jamais_livree_et_le_site_est_toujours_ouvert",2026-05-20,TraitementEnCours,0,"Commande effectuée,Internet",0,1,0,"J'ai commandé un smartphone sur le site X le 15 avril, prix affiché 399 euros. Le paiement a été accepté, j'ai reçu un email de confirmation. Mais depuis, aucune nouvelle, le suivi indique ""en préparation"" depuis 10 jours. Le site est toujours en ligne, mais le SAV ne répond pas à mes mails. J'ai peur d'être victime d'une arnaque. Je vois sur les forums que d'autres ont le même problème. Je demande un remboursement ou une explication, car je n'ai ni le téléphone ni mes sous."
AchatInternet,"Une_commande_effectuee,Commande_jamais_livree_et_le_site_est_toujours_ouvert",2026-06-02,TraitementEnCours,1,"Commande effectuée,Internet",0,1,0,"Bonjour, j'ai commandé il y a 3 semaines une paire de baskets sur votre boutique en ligne. Je n'ai toujours rien reçu, et le numéro de suivi n'est pas reconnu par le transporteur. J'ai envoyé un message via le formulaire de contact et un mail à l'adresse indiquée, mais je n'ai eu aucune réponse. Le site est toujours actif, ce qui me fait penser que vous êtes toujours en activité. Pourtant, le silence est total. Pourquoi continuez-vous à prendre des commandes si vous ne les expédiez pas ? Je demande soit le remboursement, soit l'envoi de ma commande."
CafeRestaurant,"Jai_ete_malade_apres_avoir_mange,A_emporter",2026-06-06,TraitementEnCours,1,"Produit dangereux,Produit alimentaire",0,1,0,"J'ai pris un plat à emporter dans votre restaurant vendredi soir, un curry de poulet. Le lendemain, j'ai eu une diarrhée violente et de la fièvre. Mon mari a goûté et a eu les mêmes symptômes. Nous avons dû annuler notre week-end. Je suis sûr que le poulet n'était pas bien cuit. J'ai appelé le restaurant mais on m'a répondu que c'était impossible. Je suis dégoûtée, plus jamais je ne commanderai chez vous. J'espère que vous prendrez des mesures, car ce n'est pas acceptable de mettre en danger la santé de vos clients."
Internet,"Un_influenceur_ou_une_influenceuse,Labsence_de_mention_par_linfluenceur_du_caractere_commercial_de_sa_publication",2026-06-20,TraitementEnCours,0,Influenceur,0,1,0,"Je suis abonné à une influenceuse mode sur Instagram. Elle poste régulièrement des photos où elle porte des vêtements d'une marque, avec un lien en bio. Elle ne précise jamais qu'il s'agit de publicité rémunérée, mais j'ai découvert que c'était le cas. Elle influence ses abonnés sans transparence, c'est trompeur. On croit acheter un produit qu'elle aime vraiment, alors qu'elle est payée pour le promouvoir. C'est contraire à la loi, elle devrait indiquer clairement que c'est un partenariat. Je signale cette pratique pour que les autres consommateurs soient informés."
